,2018-09-29,2019-09-28,2020-09-26,2021-09-25,2022-09-24
symbol,AAPL,AAPL,AAPL,AAPL,AAPL
reportedCurrency,USD,USD,USD,USD,USD
cik,0000320193,0000320193,0000320193,0000320193,0000320193
fillingDate,2018-11-05,2019-10-31,2020-10-30,2021-10-29,2022-10-28
acceptedDate,2018-11-05 08:01:40,2019-10-30 18:12:36,2020-10-29 18:06:25,2021-10-28 18:04:28,2022-10-27 18:01:14
calendarYear,2018,2019,2020,2021,2022
period,FY,FY,FY,FY,FY
cashAndCashEquivalents,25913000000,48844000000,38016000000,34940000000,23646000000
shortTermInvestments,40388000000,51713000000,52927000000,27699000000,24658000000
cashAndShortTermInvestments,66301000000,100557000000,90943000000,62639000000,48304000000
netReceivables,48995000000,45804000000,37445000000,51506000000,60932000000
inventory,3956000000,4106000000,4061000000,6580000000,4946000000
otherCurrentAssets,12087000000,12352000000,11264000000,14111000000,21223000000
totalCurrentAssets,131339000000,162819000000,143713000000,134836000000,135405000000
propertyPlantEquipmentNet,41304000000,37378000000,36766000000,39440000000,42117000000
goodwill,0,0,0,0,0
intangibleAssets,0,0,0,0,0
goodwillAndIntangibleAssets,0,0,0,0,0
longTermInvestments,170799000000,105341000000,100887000000,127877000000,120805000000
taxAssets,0,0,0,0,0
otherNonCurrentAssets,22283000000,32978000000,42522000000,48849000000,54428000000
totalNonCurrentAssets,234386000000,175697000000,180175000000,216166000000,217350000000
otherAssets,0,0,0,0,0
totalAssets,365725000000,338516000000,323888000000,351002000000,352755000000
accountPayables,55888000000,46236000000,42296000000,54763000000,64115000000
shortTermDebt,20748000000,16240000000,13769000000,15613000000,21110000000
taxPayables,0,0,0,0,0
deferredRevenue,7543000000,5522000000,6643000000,7612000000,7912000000
otherCurrentLiabilities,32687000000,37720000000,42684000000,47493000000,60845000000
totalCurrentLiabilities,116866000000,105718000000,105392000000,125481000000,153982000000
longTermDebt,93735000000,91807000000,98667000000,109106000000,98959000000
deferredRevenueNonCurrent,2797000000,0,0,0,0
deferredTaxLiabilitiesNonCurrent,426000000,0,0,0,0
otherNonCurrentLiabilities,44754000000,50503000000,54490000000,53325000000,49142000000
totalNonCurrentLiabilities,141712000000,142310000000,153157000000,162431000000,148101000000
otherLiabilities,0,0,0,0,0
capitalLeaseObligations,0,0,0,0,0
totalLiabilities,258578000000,248028000000,258549000000,287912000000,302083000000
preferredStock,0,0,0,0,0
commonStock,40201000000,45174000000,50779000000,57365000000,64849000000
retainedEarnings,70400000000,45898000000,14966000000,5562000000,-3068000000
accumulatedOtherComprehensiveIncomeLoss,-3454000000,-584000000,-406000000,163000000,-11109000000
othertotalStockholdersEquity,0,0,0,0,0
totalStockholdersEquity,107147000000,90488000000,65339000000,63090000000,50672000000
totalEquity,107147000000,90488000000,65339000000,63090000000,50672000000
totalLiabilitiesAndStockholdersEquity,365725000000,338516000000,323888000000,351002000000,352755000000
minorityInterest,0,0,0,0,0
totalLiabilitiesAndTotalEquity,365725000000,338516000000,323888000000,351002000000,352755000000
totalInvestments,211187000000,157054000000,153814000000,155576000000,145463000000
totalDebt,114483000000,108047000000,112436000000,124719000000,120069000000
netDebt,88570000000,59203000000,74420000000,89779000000,96423000000
link,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/0000320193-18-000145-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/0000320193-19-000119-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/0000320193-20-000096-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/0000320193-21-000105-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/0000320193-22-000108-index.htm
finalLink,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/a10-k20189292018.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/aapl-20210925.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/aapl-20220924.htm
startPeriod,2017-09-29,2018-09-29,2019-09-28,2020-09-26,2021-09-25
endPeriod,2018-09-29,2019-09-28,2020-09-26,2021-09-25,2022-09-24
high,57.42,58.37,137.98,157.26,182.94
low,37.56,35.5,53.15,107.32,129.04
average,45.56,48.0,80.69,131.02,158.62
