,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31
symbol,ASML,ASML,ASML,ASML,ASML
reportedCurrency,EUR,EUR,EUR,EUR,EUR
cik,0000937966,0000937966,0000937966,0000937966,0000937966
fillingDate,2019-02-06,2020-02-12,2021-02-10,2022-02-09,2023-02-15
acceptedDate,2019-02-06 06:09:01,2020-02-12 06:22:29,2021-02-10 06:10:28,2022-02-09 06:24:50,2023-02-15 06:05:47
calendarYear,2018,2019,2020,2021,2022
period,FY,FY,FY,FY,FY
revenue,10944000000,11820000000,13978500000,18611000000,21173400000
costOfRevenue,6225700000,6919900000,7181300000,8802000000,10660700000
grossProfit,4718300000,4900100000,6797200000,9809000000,10512700000
grossProfitRatio,0.4311312135,0.4145600677,0.4862610437,0.5270538929,0.4965050488
researchAndDevelopmentExpenses,1347000000,1662900000,2200800000,2547000000,2282100000
generalAndAdministrativeExpenses,0,0,0,0,0
sellingAndMarketingExpenses,0,0,0,0,0
sellingGeneralAndAdministrativeExpenses,488000000,520500000,544900000,725600000,909600000
otherExpenses,0,0,0,213700000,0
operatingExpenses,1835000000,2183400000,2745700000,3272600000,3191700000
costAndExpenses,8060700000,9103300000,9927000000,12074600000,13852400000
interestIncome,13500000,11600000,8400000,10000000,16200000
interestExpense,41800000,36600000,43400000,54600000,60800000
depreciationAndAmortization,733500000,839900000,490800000,257300000,892100000
ebitda,3630300000,3556600000,4542300000,7007400000,8213100000
ebitdaratio,0.3317160088,0.3008967851,0.3249490289,0.3765192628,0.3878970784
operatingIncome,2883300000,2716700000,4051500000,6750100000,7321000000
operatingIncomeRatio,0.2634594298,0.2298392555,0.2898379654,0.3626941056,0.3457640247
totalOtherIncomeExpensesNet,-28300000,-25000000,-34900000,-44600000,-44600000
incomeBeforeTax,2855000000,2691700000,4016600000,6705500000,7276400000
incomeBeforeTaxRatio,0.260873538,0.2277241963,0.2873412741,0.3602976734,0.3436576081
incomeTaxExpense,335700000,128800000,551500000,1021400000,1018600000
netIncome,2519300000,2581100000,3553700000,5883200000,6395800000
netIncomeRatio,0.2301991959,0.2183671743,0.254226133,0.3161141261,0.3020676887
eps,5.93,6.16,8.49,14.36,14.14
epsdiluted,5.91,6.15,8.48,14.34,14.13
weightedAverageShsOut,424900000,420800000,418300000,409800000,397700000
weightedAverageShsOutDil,426400000,421600000,419100000,410400000,398000000
link,https://www.sec.gov/Archives/edgar/data/937966/000093796619000007/0000937966-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796620000011/0000937966-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796621000007/0000937966-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796622000013/0000937966-22-000013-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796623000014/0000937966-23-000014-index.htm
finalLink,https://www.sec.gov/Archives/edgar/data/937966/000093796619000007/a2018integratedreportbased.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796620000011/a2019integratedreportb.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796621000007/asml-20201231.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796622000013/asml-20211231.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796623000014/asml-20221231.htm
startPeriod,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
endPeriod,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31
high,221.66,298.5,492.66,895.93,805.28
low,144.5,147.38,191.25,483.45,363.15
average,192.1,217.82,348.13,699.3,563.45
