,2019-06-30,2020-06-30,2021-06-30,2022-06-30,2023-06-30
symbol,MSFT,MSFT,MSFT,MSFT,MSFT
reportedCurrency,USD,USD,USD,USD,USD
cik,0000789019,0000789019,0000789019,0000789019,0000789019
fillingDate,2019-08-01,2020-07-30,2021-07-29,2022-07-28,2023-07-27
acceptedDate,2019-08-01 16:09:55,2020-07-30 20:44:46,2021-07-29 16:21:55,2022-07-28 16:06:19,2023-07-27 16:01:56
calendarYear,2019,2020,2021,2022,2023
period,FY,FY,FY,FY,FY
revenue,125843000000,143015000000,168088000000,198270000000,211915000000
costOfRevenue,42910000000,46078000000,52232000000,62650000000,65863000000
grossProfit,82933000000,96937000000,115856000000,135620000000,146052000000
grossProfitRatio,0.659019572,0.6778100199,0.6892580077,0.6840167448,0.6892008588
researchAndDevelopmentExpenses,16876000000,19269000000,20716000000,24512000000,27195000000
generalAndAdministrativeExpenses,4885000000,5111000000,5107000000,5900000000,7575000000
sellingAndMarketingExpenses,18213000000,19598000000,20117000000,21825000000,22759000000
sellingGeneralAndAdministrativeExpenses,23098000000,24709000000,25224000000,27725000000,30334000000
otherExpenses,729000000,77000000,1186000000,333000000,788000000
operatingExpenses,39974000000,43978000000,45940000000,52237000000,57529000000
costAndExpenses,82884000000,90056000000,98172000000,114887000000,123392000000
interestIncome,2762000000,2680000000,2131000000,2094000000,2994000000
interestExpense,2686000000,2591000000,2346000000,2063000000,1968000000
depreciationAndAmortization,11682000000,12796000000,11686000000,14460000000,13861000000
ebitda,54641000000,65755000000,81602000000,97843000000,102384000000
ebitdaratio,0.4341997568,0.4597769465,0.4854718957,0.4934836334,0.4831371069
operatingIncome,42959000000,52959000000,69916000000,83383000000,88523000000
operatingIncomeRatio,0.3413698021,0.3703038143,0.4159487887,0.4205527816,0.4177288064
totalOtherIncomeExpensesNet,729000000,77000000,1186000000,333000000,788000000
incomeBeforeTax,43688000000,53036000000,71102000000,83716000000,89311000000
incomeBeforeTaxRatio,0.3471627345,0.3708422193,0.4230046166,0.4222323095,0.4214472784
incomeTaxExpense,4448000000,8755000000,9831000000,10978000000,16950000000
netIncome,39240000000,44281000000,61271000000,72738000000,72361000000
netIncomeRatio,0.3118171054,0.3096248645,0.3645173956,0.3668633681,0.3414623788
eps,5.11,5.82,8.12,9.7,9.72
epsdiluted,5.06,5.76,8.05,9.65,9.68
weightedAverageShsOut,7673000000,7610000000,7547000000,7496000000,7446000000
weightedAverageShsOutDil,7753000000,7683000000,7608000000,7540000000,7472000000
link,https://www.sec.gov/Archives/edgar/data/789019/000156459019027952/0001564590-19-027952-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/0001564590-20-034944-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/0001564590-21-039151-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/0001564590-22-026876-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/0000950170-23-035122-index.htm
finalLink,https://www.sec.gov/Archives/edgar/data/789019/000156459019027952/msft-10k_20190630.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/msft-10k_20200630.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/msft-10k_20210630.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/msft-10k_20220630.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/msft-20230630.htm
startPeriod,2018-06-30,2019-06-30,2020-06-30,2021-06-30,2022-06-30
endPeriod,2019-06-30,2020-06-30,2021-06-30,2022-06-30,2023-06-30
high,138.4,203.95,271.65,349.67,351.47
low,93.96,130.78,196.25,241.51,213.43
average,112.93,157.27,227.39,297.08,267.65
