,2019-01-27,2020-01-26,2021-01-31,2022-01-30,2023-01-29
symbol,NVDA,NVDA,NVDA,NVDA,NVDA
reportedCurrency,USD,USD,USD,USD,USD
cik,0001045810,0001045810,0001045810,0001045810,0001045810
fillingDate,2019-02-21,2020-02-20,2021-02-26,2022-03-18,2023-02-24
acceptedDate,2019-02-21 16:37:18,2020-02-20 16:38:18,2021-02-26 17:03:14,2022-03-17 20:33:34,2023-02-24 17:23:43
calendarYear,2019,2020,2021,2022,2023
period,FY,FY,FY,FY,FY
cashAndCashEquivalents,782000000,10896000000,847000000,1990000000,3389000000
shortTermInvestments,6640000000,1000000,10714000000,19218000000,9907000000
cashAndShortTermInvestments,7422000000,10897000000,11561000000,21208000000,13296000000
netReceivables,1424000000,1657000000,2429000000,4650000000,3827000000
inventory,1575000000,979000000,1826000000,2605000000,5159000000
otherCurrentAssets,136000000,157000000,239000000,366000000,791000000
totalCurrentAssets,10557000000,13690000000,16055000000,28829000000,23073000000
propertyPlantEquipmentNet,1404000000,2292000000,2856000000,3607000000,4845000000
goodwill,618000000,618000000,4193000000,4349000000,4372000000
intangibleAssets,45000000,49000000,2737000000,2339000000,1676000000
goodwillAndIntangibleAssets,663000000,667000000,6930000000,6688000000,6048000000
longTermInvestments,0,0,144000000,266000000,299000000
taxAssets,0,548000000,806000000,1222000000,3396000000
otherNonCurrentAssets,668000000,118000000,2000000000,3575000000,3521000000
totalNonCurrentAssets,2735000000,3625000000,12736000000,15358000000,18109000000
otherAssets,0,0,0,0,0
totalAssets,13292000000,17315000000,28791000000,44187000000,41182000000
accountPayables,511000000,687000000,1201000000,1783000000,1193000000
shortTermDebt,91000000,91000000,999000000,0,1250000000
taxPayables,91000000,61000000,61000000,0,467000000
deferredRevenue,92000000,141000000,288000000,300000000,354000000
otherCurrentLiabilities,635000000,865000000,1437000000,2252000000,3766000000
totalCurrentLiabilities,1329000000,1784000000,3925000000,4335000000,6563000000
longTermDebt,1988000000,2552000000,6598000000,11687000000,10605000000
deferredRevenueNonCurrent,46000000,60000000,163000000,202000000,218000000
deferredTaxLiabilitiesNonCurrent,19000000,29000000,241000000,245000000,247000000
otherNonCurrentLiabilities,568000000,686000000,971000000,1106000000,1448000000
totalNonCurrentLiabilities,2621000000,3327000000,7973000000,13240000000,12518000000
otherLiabilities,0,0,0,0,0
capitalLeaseObligations,0,561000000,634000000,741000000,902000000
totalLiabilities,3950000000,5111000000,11898000000,17575000000,19081000000
preferredStock,0,0,0,0,0
commonStock,1000000,1000000,1000000,3000000,2000000
retainedEarnings,12565000000,14971000000,18908000000,16235000000,10171000000
accumulatedOtherComprehensiveIncomeLoss,-12000000,1000000,19000000,-11000000,-43000000
othertotalStockholdersEquity,-3212000000,-2769000000,-2035000000,10385000000,11971000000
totalStockholdersEquity,9342000000,12204000000,16893000000,26612000000,22101000000
totalEquity,9342000000,12204000000,16893000000,26612000000,22101000000
totalLiabilitiesAndStockholdersEquity,13292000000,17315000000,28791000000,44187000000,41182000000
minorityInterest,0,0,0,0,0
totalLiabilitiesAndTotalEquity,13292000000,17315000000,28791000000,44187000000,41182000000
totalInvestments,6640000000,1000000,10858000000,19484000000,10206000000
totalDebt,1988000000,2552000000,7597000000,11687000000,11855000000
netDebt,1206000000,-8344000000,6750000000,9697000000,8466000000
link,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000023/0001045810-19-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000010/0001045810-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000010/0001045810-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000036/0001045810-22-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000017/0001045810-23-000017-index.htm
finalLink,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000023/nvda-2019x10k.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000010/nvda-2020x10k.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000010/nvda-20210131.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000036/nvda-20220130.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000017/nvda-20230129.htm
startPeriod,2018-01-27,2019-01-27,2020-01-26,2021-01-31,2022-01-30
endPeriod,2019-01-27,2020-01-26,2021-01-31,2022-01-30,2023-01-29
high,73.19,64.88,147.27,346.47,289.46
low,31.11,32.75,45.17,115.67,108.13
average,56.78,45.25,103.78,204.68,179.07
