,2019-01-27,2020-01-26,2021-01-31,2022-01-30,2023-01-29
symbol,NVDA,NVDA,NVDA,NVDA,NVDA
reportedCurrency,USD,USD,USD,USD,USD
cik,0001045810,0001045810,0001045810,0001045810,0001045810
fillingDate,2019-02-21,2020-02-20,2021-02-26,2022-03-18,2023-02-24
acceptedDate,2019-02-21 16:37:18,2020-02-20 16:38:18,2021-02-26 17:03:14,2022-03-17 20:33:34,2023-02-24 17:23:43
calendarYear,2019,2020,2021,2022,2023
period,FY,FY,FY,FY,FY
netIncome,4141000000,2796000000,4332000000,9752000000,4368000000
depreciationAndAmortization,262000000,381000000,1098000000,1174000000,1544000000
deferredIncomeTax,-315000000,18000000,-282000000,-406000000,-2164000000
stockBasedCompensation,557000000,844000000,1397000000,2004000000,2709000000
changeInWorkingCapital,-857000000,717000000,-703000000,-3363000000,-2207000000
accountsReceivables,-149000000,-233000000,-550000000,-2215000000,822000000
inventory,-776000000,597000000,-524000000,-774000000,-2554000000
accountsPayables,-135000000,194000000,363000000,568000000,-551000000
otherWorkingCapital,203000000,159000000,8000000,-942000000,76000000
otherNonCashItems,-45000000,5000000,-20000000,-53000000,1391000000
netCashProvidedByOperatingActivities,3743000000,4761000000,5822000000,9108000000,5641000000
investmentsInPropertyPlantAndEquipment,-600000000,-489000000,-1128000000,-976000000,-1833000000
acquisitionsNet,36000000,9000000,-8524000000,-263000000,-49000000
purchasesOfInvestments,-11157000000,-1475000000,-19342000000,-24811000000,-11974000000
salesMaturitiesOfInvestments,7660000000,8109000000,9319000000,16220000000,21231000000
otherInvestingActivites,-36000000,-9000000,0,0,0
netCashUsedForInvestingActivites,-4097000000,6145000000,-19675000000,-9830000000,7375000000
debtRepayment,-16000000,0,0,-1000000000,0
commonStockIssued,137000000,0,0,0,0
commonStockRepurchased,-1579000000,-1579000000,0,0,-10039000000
dividendsPaid,-371000000,-390000000,-395000000,-399000000,-398000000
otherFinancingActivites,-1037000000,1177000000,4199000000,3264000000,-1180000000
netCashUsedProvidedByFinancingActivities,-2866000000,-792000000,3804000000,1865000000,-11617000000
effectOfForexChangesOnCash,0,0,0,0,0
netChangeInCash,-3220000000,10114000000,-10049000000,1143000000,1399000000
cashAtEndOfPeriod,782000000,10896000000,847000000,1990000000,3389000000
cashAtBeginningOfPeriod,4002000000,782000000,10896000000,847000000,1990000000
operatingCashFlow,3743000000,4761000000,5822000000,9108000000,5641000000
capitalExpenditure,-600000000,-489000000,-1128000000,-976000000,-1833000000
freeCashFlow,3143000000,4272000000,4694000000,8132000000,3808000000
link,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000023/0001045810-19-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000010/0001045810-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000010/0001045810-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000036/0001045810-22-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000017/0001045810-23-000017-index.htm
finalLink,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000023/nvda-2019x10k.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000010/nvda-2020x10k.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000010/nvda-20210131.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000036/nvda-20220130.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000017/nvda-20230129.htm
startPeriod,2018-01-27,2019-01-27,2020-01-26,2021-01-31,2022-01-30
endPeriod,2019-01-27,2020-01-26,2021-01-31,2022-01-30,2023-01-29
high,73.19,64.88,147.27,346.47,289.46
low,31.11,32.75,45.17,115.67,108.13
average,56.78,45.25,103.78,204.68,179.07
