,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31
symbol,TLSA,TLSA,TLSA,TLSA,TLSA
reportedCurrency,GBP,USD,USD,USD,USD
cik,0001723069,0001723069,0001723069,0001723069,0001723069
fillingDate,2019-04-04,2020-06-17,2021-05-17,2022-05-23,2023-04-26
acceptedDate,2019-04-04 06:07:32,2020-06-17 17:27:44,2021-05-17 17:13:47,2022-05-20 18:35:29,2023-04-26 14:36:10
calendarYear,2018,2019,2020,2021,2022
period,FY,FY,FY,FY,FY
cashAndCashEquivalents,5284996.447061,200608.380972,65711326.43744,42186000.0,18122000.0
shortTermInvestments,0,0,0,0,0
cashAndShortTermInvestments,5284996.447061,200608.380972,65711326.43744,42186000.0,18122000.0
netReceivables,0.0,0.0,3779113.346144,5307000.0,5990000.0
inventory,0.0,0.0,564935.143163994,-5307000.0,-5990000.0
otherCurrentAssets,275352.756065,1305000.0,2000.0,6493000.0,6160000.0
totalCurrentAssets,6890163.435184,1499973.776682,70057374.926748,48679000.0,24282000.0
propertyPlantEquipmentNet,7613.44026,437929.406829,358422.939068,17000.0,389000.0
goodwill,0,0,0,0,0
intangibleAssets,0,0,0,130000,0
goodwillAndIntangibleAssets,0.0,0.0,132194.011748,130000.0,0.0
longTermInvestments,0,0,0,0,1806000
taxAssets,0,0,0,0,0
otherNonCurrentAssets,0.0,432684.74327300006,0.0,0.0,0.0
totalNonCurrentAssets,7613.44026,870614.150102,490616.950816,147000.0,2195000.0
otherAssets,0,0,0,0,0
totalAssets,6897776.875444,2370587.926784,70547991.877564,48826000.0,26477000.0
accountPayables,6376256.217643,6360465.726124,3360726.113087,4406000.0,4962000.0
shortTermDebt,310000.0,277967.168406,265750.848358,0.0,122000.0
taxPayables,0,0,0,0,0
deferredRevenue,-2240796.0,591335.8158069998,4254739.223463001,0.0,0.0
otherCurrentLiabilities,1930796.0,82603.45098899957,84495.14152899943,3140000.0,1579000.0
totalCurrentLiabilities,6376256.217643,7312372.161326,7965711.326437,7546000.0,6663000.0
longTermDebt,0.0,538889.180259,288918.871036,0.0,243000.0
deferredRevenueNonCurrent,0,0,0,0,0
deferredTaxLiabilitiesNonCurrent,0,0,0,0,0
otherNonCurrentLiabilities,0,0,0,0,0
totalNonCurrentLiabilities,0.0,538889.180259,288918.871036,0.0,243000.0
otherLiabilities,0.0,9.313225746154785e-10,0.0,0.0,0.0
capitalLeaseObligations,0.0,816856.348665,554669.719394,0.0,365000.0
totalLiabilities,6376256.217643,7851261.341585,8254630.197473,7546000.0,6906000.0
preferredStock,4.656612873077393e-10,0.0,7.450580596923828e-09,0.0,0.0
commonStock,5194904.070653,5374468.977815,7956171.552394,102000.0,102000.0
retainedEarnings,-45383717.389098,-56571563.434206,-84921705.711599,-108063000.0,-116263000.0
accumulatedOtherComprehensiveIncomeLoss,-30735.12,0.0,-38274936.287938,119151000.0,115569000.0
othertotalStockholdersEquity,40741069.096246004,45716421.041590996,177533832.127233,30090000.0,20163000.0
totalStockholdersEquity,521520.657801,-5480673.4148,62293361.68009,41280000.0,19571000.0
totalEquity,521520.657801,-5480673.4148,62293361.68009,41280000.0,19571000.0
totalLiabilitiesAndStockholdersEquity,6897776.875444001,2370587.926784,70547991.877563,48826000.0,26477000.0
minorityInterest,0,0,0,0,0
totalLiabilitiesAndTotalEquity,6897776.875444001,2370587.926784,70547991.877563,48826000.0,26477000.0
totalInvestments,0,0,0,0,1806000
totalDebt,310000.0,816856.348665,554669.719394,0.0,365000.0
netDebt,-4974996.447061,616247.9676930001,-65156656.718046,-42186000.0,-17757000.0
link,https://www.sec.gov/Archives/edgar/data/1723069/000121390019005736/0001213900-19-005736-index.htm,https://www.sec.gov/Archives/edgar/data/1723069/000121390020015211/0001213900-20-015211-index.htm,https://www.sec.gov/Archives/edgar/data/1723069/000121390021027177/0001213900-21-027177-index.htm,https://www.sec.gov/Archives/edgar/data/1723069/000121390022028645/0001213900-22-028645-index.htm,https://www.sec.gov/Archives/edgar/data/1723069/000121390023032763/0001213900-23-032763-index.htm
finalLink,https://www.sec.gov/Archives/edgar/data/1723069/000121390019005736/f20f2018_tizianalife.htm,https://www.sec.gov/Archives/edgar/data/1723069/000121390020015211/f20f2019_tizianalife.htm,https://www.sec.gov/Archives/edgar/data/1723069/000121390021027177/f20f2020_tizianalife.htm,https://www.sec.gov/Archives/edgar/data/1723069/000121390022028645/f20f2021_tizianalife.htm,https://www.sec.gov/Archives/edgar/data/1723069/000121390023032763/f20f2022_tizianalife.htm
startPeriod,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
endPeriod,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31
high,2.43,2.08,12.17,5.29,1.38
low,1.13,0.67,0.62,0.85,0.53
average,1.62,1.32,2.47,2.23,0.79
