,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31
symbol,TSM,TSM,TSM,TSM,TSM
reportedCurrency,TWD,TWD,TWD,TWD,TWD
cik,0001046179,0001046179,0001046179,0001046179,0001046179
fillingDate,2019-04-17,2020-04-15,2021-04-16,2022-04-14,2023-04-20
acceptedDate,2019-04-17 07:21:35,2020-04-15 06:35:58,2021-04-16 07:58:57,2022-04-14 06:49:10,2023-04-20 06:19:24
calendarYear,2018,2019,2020,2021,2022
period,FY,FY,FY,FY,FY
cashAndCashEquivalents,577814601000,455399336000,660170647000,1064990192000,1342814083000
shortTermInvestments,135941393000,139064391000,141981968000,140082481000,243686042000
cashAndShortTermInvestments,713755994000,594463727000,802152615000,1205072673000,1586500125000
netReceivables,129262831000,139822312000,146089048000,198362964000,231408820000
inventory,103230976000,82981196000,137353407000,193102321000,221149148000
otherCurrentAssets,5406423000,5320795000,6590191000,10521481000,12888776000
totalCurrentAssets,951679721000,822613914000,1092185308000,1607072907000,2052896744000
propertyPlantEquipmentNet,1072050279000,1369609807000,1583317502000,2007853241000,2735751106000
goodwill,5795488000,5693376000,5436602000,5379164000,5791821000
intangibleAssets,11206649000,14959652000,20331577000,21442533000,20207334000
goodwillAndIntangibleAssets,17002137000,20653028000,25768179000,26821697000,25999155000
longTermInvestments,29304796000,30172039000,27728208000,29384701000,68927920000
taxAssets,16806387000,17928358000,25958184000,49153886000,69185842000
otherNonCurrentAssets,3284718000,3827886000,5754024000,5217023000,12018111000
totalNonCurrentAssets,1138448317000,1442191118000,1668526097000,2118430548000,2911882134000
otherAssets,0,0,0,0,0
totalAssets,2090128038000,2264805032000,2760711405000,3725503455000,4964778878000
accountPayables,76114592000,179581769000,196792245000,193027751000,268379321000
shortTermDebt,88754640000,118522290000,88559026000,114921333000,19313889000
taxPayables,38987053000,32466156000,53909313000,59647152000,120801814000
deferredRevenue,0,259847495000,329104480000,426296051000,0
otherCurrentLiabilities,175673354000,32784147000,2695297000,5258223000,656533607000
totalCurrentLiabilities,340542586000,590735701000,617151048000,739503358000,944226817000
longTermDebt,56900000000,40141833000,276633344000,634143997000,868860583000
deferredRevenueNonCurrent,3353378000,176904000,265599000,11036879000,0
deferredTaxLiabilitiesNonCurrent,233284000,344393000,1729941000,1873877000,1031383000
otherNonCurrentLiabilities,11602394000,11310775000,14309474000,168212139000,190171228000
totalNonCurrentLiabilities,72089056000,51973905000,292938358000,815266892000,1060063194000
otherLiabilities,0,0,0,0,0
capitalLeaseObligations,0,15041833000,20560649000,20764214000,29764097000
totalLiabilities,412631642000,642709606000,910089406000,1554770250000,2004290011000
preferredStock,0,0,0,0,0
commonStock,259303805000,259303805000,259303805000,259303805000,259303805000
retainedEarnings,1376647841000,1333334979000,1588686081000,1906829661000,2637524688000
accumulatedOtherComprehensiveIncomeLoss,0,321822000000,0,370451000000,0
othertotalStockholdersEquity,40866019000,-293050660000,1667370000,-368297913000,48824702000
totalStockholdersEquity,1676817665000,1621410124000,1849657256000,2168286553000,2945653195000
totalEquity,1676817665000,1621410124000,1849657256000,2168286553000,2945653195000
totalLiabilitiesAndStockholdersEquity,2090128038000,2264805032000,2760711405000,3725503455000,4964778878000
minorityInterest,678731000,685302000,964743000,2446652000,14835672000
totalLiabilitiesAndTotalEquity,2090128038000,2264805032000,2760711405000,3725503455000,4964778878000
totalInvestments,165149400000,169236430000,169710176000,169467182000,312613962000
totalDebt,145654640000,158664123000,365192370000,749065330000,888174472000
netDebt,-432159961000,-296735213000,-294978277000,-315924862000,-454639611000
link,https://www.sec.gov/Archives/edgar/data/1046179/000119312519108390/0001193125-19-108390-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312520107579/0001193125-20-107579-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312521118512/0001193125-21-118512-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312522104891/0001193125-22-104891-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312523107214/0001193125-23-107214-index.htm
finalLink,https://www.sec.gov/Archives/edgar/data/1046179/000119312519108390/d665387d20f.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312520107579/d831201d20f.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312521118512/d94821d20f.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312522104891/d204786d20f.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312523107214/d428519d20f.htm
startPeriod,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
endPeriod,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31
high,46.57,59.71,109.7,142.2,145.0
low,35.22,34.21,42.7,107.58,59.43
average,40.63,43.74,69.54,118.8,91.08
