,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31
symbol,TSM,TSM,TSM,TSM,TSM
reportedCurrency,TWD,TWD,TWD,TWD,TWD
cik,0001046179,0001046179,0001046179,0001046179,0001046179
fillingDate,2019-04-17,2020-04-15,2021-04-16,2022-04-14,2023-04-20
acceptedDate,2019-04-17 07:21:35,2020-04-15 06:35:58,2021-04-16 07:58:57,2022-04-14 06:49:10,2023-04-20 06:19:24
calendarYear,2018,2019,2020,2021,2022
period,FY,FY,FY,FY,FY
revenue,1031361769000,1069988843000,1339238429000,1587415037000,2263891292000
costOfRevenue,533487516000,577286947000,628108309000,767877771000,915536486000
grossProfit,497874253000,492701896000,711130120000,819537266000,1348354806000
grossProfitRatio,0.4827348346,0.4604738631,0.5309959038,0.5162715779,0.5955916747
researchAndDevelopmentExpenses,85895600000,91418746000,109486089000,124734755000,163262208000
generalAndAdministrativeExpenses,20265900000,21737210000,28457593000,36929600000,53524898000
sellingAndMarketingExpenses,5987800000,6348626000,7112867000,7558591000,9920446000
sellingGeneralAndAdministrativeExpenses,26253700000,28085836000,35570460000,44488200000,63445344000
otherExpenses,672317000,-152357000,-710127000,-21000,368403000
operatingExpenses,112821617000,119352225000,144346422000,169222934000,227075955000
costAndExpenses,646309200000,696639172000,772454731000,937100705000,1142612441000
interestIncome,14694400000,16189374000,9018400000,5708765000,22422209000
interestExpense,3051100000,3250847000,2081455000,5414218000,11749984000
depreciationAndAmortization,311632376000,307231488000,345422687000,440954504000,468495304000
ebitda,695255900000,679932578000,912206385000,1090935401000,1589774155000
ebitdaratio,0.6741144775,0.6354576335,0.6811381493,0.6872401833,0.7022307832
operatingIncome,383623524000,372701090000,566783698000,649980897000,1121278851000
operatingIncomeRatio,0.3719582551,0.3483224077,0.4232134366,0.4094586997,0.4952882919
totalOtherIncomeExpensesNet,13919576000,17144246000,17993482000,13145417000,22911867000
incomeBeforeTax,397543100000,389845336000,584777180000,663126314000,1144190718000
incomeBeforeTaxRatio,0.385454563,0.3643452346,0.4366490442,0.4177397206,0.5054088604
incomeTaxExpense,34436900000,44501527000,66619098000,66053180000,127290203000
netIncome,351130884000,345263668000,517885387000,588918059000,1016530249000
netIncomeRatio,0.3404536551,0.3226796898,0.3867014086,0.3709918612,0.4490190199
eps,67.71,66.6,99.85,115.05,196.01
epsdiluted,67.71,66.6,99.85,115.05,196.01
weightedAverageShsOut,5186076000,5186076000,5186076000,5186076000,5186076000
weightedAverageShsOutDil,5186076000,5186076000,5186076000,5186076000,5186076000
link,https://www.sec.gov/Archives/edgar/data/1046179/000119312519108390/0001193125-19-108390-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312520107579/0001193125-20-107579-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312521118512/0001193125-21-118512-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312522104891/0001193125-22-104891-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312523107214/0001193125-23-107214-index.htm
finalLink,https://www.sec.gov/Archives/edgar/data/1046179/000119312519108390/d665387d20f.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312520107579/d831201d20f.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312521118512/d94821d20f.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312522104891/d204786d20f.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312523107214/d428519d20f.htm
startPeriod,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
endPeriod,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31
high,46.57,59.71,109.7,142.2,145.0
low,35.22,34.21,42.7,107.58,59.43
average,40.63,43.74,69.54,118.8,91.08
